STATSSA_Area_Code,Description,Main_Code
2011-662025010,Bafokeng,2011-662025
2011-662010001,Bafokeng North Platinum Mine,2011-662010
2011-662010002,Bafokeng South Platinum Mine,2011-662010
2011-763004023,Bagale,2011-763004
2011-798015057,Bagleyston,2011-798015
2011-969023001,Bahamanoa SP,2011-969023
2011-969040002,Bahananoa SP,2011-969040
2011-661022001,Baikagedi SP,2011-661022
2011-799035127,Bailey's Muckleneuk,2011-799035
2011-360097001,Baily Brith SP,2011-360097
2011-293148001,Bajodini SP,2011-293148
2011-293123001,Bakaleni SP,2011-293123
2011-270422001,Bakana,2011-270422
2011-271380001,Bakaneni SP,2011-271380
2011-270488001,Bakaneni SP,2011-270488
2011-982072001,Bakenberg SP,2011-982072
2011-470005007,Bakenpark,2011-470005
2011-797018019,Bakerton,2011-797018
2011-668003001,Bakerville SP,2011-668003
2011-961096006,Bakinofaso,2011-961096
2011-969108002,Bakone,2011-969108
2011-969109001,Bakone,2011-969109
2011-982012001,Bakone SP,2011-982012
2011-970059001,Bakone SP,2011-970059
2011-985021002,Bakoneng,2011-985021
2011-199041047,Bakoven,2011-199041
2011-282101001,Baku SP,2011-282101
2011-662012001,Bala SP,2011-662012
2011-499041001,Balaclava SP,2011-499041
2011-968107008,Balanganani,2011-968107
2011-293151001,Balasi SP,2011-293151
2011-260044002,Balazie Valley,2011-260044
2011-598152001,Balbel SP,2011-598152
2011-965013001,Bale SP,2011-965013
2011-664009001,Baleng SP,2011-664009
2011-297340001,Baleni A SP,2011-297340
2011-297375001,Baleni B SP,2011-297375
2011-297381001,Baleni C SP,2011-297381
2011-297383001,Baleni D SP,2011-297383
2011-297373001,Baleni E SP,2011-297373
2011-290062001,Baleni SP1,2011-290062
2011-290062002,Baleni SP2,2011-290062
2011-865002001,Balfour SP,2011-865002
2011-276008001,Balfour SP,2011-276008
2011-563005001,Balgowan SP,2011-563005
2011-676004009,Balilie park,2011-676004
2011-294204001,Balizulu SP,2011-294204
2011-468004001,Balkfontein SP,2011-468004
2011-592044005,Ballito SP,2011-592044
2011-964010001,Balloon SP,2011-964010
